,,,,,,,,
,Janeiro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,80,08,,Elizabeth Jolley,The Newspaper of Claremont Street,1981,128,
,81,09,,Antonio di Benedetto,Zama,1956,248,
,82,10,,Patrick White,The Aunt's Story,1948,300,
,83,11,,Ivan Turguêniev,Diário de um Homem Supérfluo,1850,96,
,,,,,,,,
,Agosto,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,84,01,,Ivan Búnin,O Amor de Mítia,1925,128,
,85,02,,Gert Hofmann,The Parable of the Blind,1985,152,
,86,03,,Joseph Roth,Weights and Measures,1937,112,
,87,04,,François Mauriac,O Beijo no Leproso,1922,112,
,88,05,,Brian Moore,Catholics,1972,120,
