,69,02,,Bentley Little,The Disappearance,2010,391,,,,,,,,,
,Janeiro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,01,01,,Barbara Comyns,Who Was Changed and Who Was Dead,1954,193,
,02,02,,Daniel Galera,Barba Ensopada de Sangue,2012,424,
,03,03,,Sven Holm,Termush,1967,119,
,04,04,,Fleur Jaeggy,Sweet Days of Discipline,1989,112,
,05,05,,Michel Houellebecq,Extensão do Domínio da Luta,2006,142,
,06,06,,Fleur Jaeggy,Last Vanities,1994,112,
,07,07,,Graham Greene,Dr. Fischer de Genebra,1980,144,
,08,08,,Hiromi Kawakami,A Valise do Professor,2010,232,
,09,09,,Nathanael West,Miss Corações Solitários,1933,88,
,,,,,,,,
,Fevereiro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,10,01,,Alasdair Gray,Poor Things,1992,318,
,11,02,,Denis Johnson,Ninguém se Mexe,2009,176,
,12,03,,Natsuko Imamura,The Woman in the Purple Skirt,2019,216,
,13,04,,Yukio Mishima,Star,1961,96,
,14,05,,Shusaku Endo ,When I Whistle ,1974,273,
,15,06,,Elvira Vigna,Às Seis em Ponto,1998,125,
,16,07,,Dezső Kosztolányi,Skylark,1924,222,
,17,08,,Gustavo Bernardo,O Gosto do Apfelstrudel,2010,88,
,18,09,,Julián Fuks,A Ocupação,2019,136,
,19,10,,Dambudzo Marechera,The House of Hunger,1978,90,
,20,11,,Vladimir Sorokin,Telluria,1997,336,
,,,,,,,,
,Março,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,21,01,,Peter Handke,Don Juan (Narrado por Ele Mesmo),2004,144,
,22,02,,Percival Everett,Erasure,2001,265,
,23,03,,Vladimir Sorokin,Day Of The Oprichnik,2006,208,
,24,04,,Lars Gustafsson,Sigismundo,1976,198,
,25,05,,Victor Pelevin,The Yellow Arrow,1993,92,
,26,06,,Tōson Shimazaki,The Broken Commandment,1906,254,
,27,07,,Gaito Gazdanov,The Spectre of Alexander Wolf,1947,176,
,28,08,,Jon Fosse,A Casa de Barcos,1989,144,
,,,,,,,,
,Abril,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,29,01,,Vladimir Sorokin,The Queue,1984,204,
,30,02,,Victor Pelevin,Omon Ra,1992,154,
,31,03,,Jon Fosse,É a Ales,2004,112,
,32,04,,Vladímir Zazúbrin,Lasca,1923,136,
,33,05,,Viktor Shklovsky,Zoo or Letters Not About Love,1922,208,
,34,06,,Verônica Stigger,Sul,2016,96,
,35,07,,Verônica Stigger,Minha Novela,2013,76,
,36,08,,Sasha Sokolov,A School for Fools,1976,232,
,37,09,,Alexander Lernet-Holenia,Mona Lisa,1937,98,
,38,10,,Enrique Vila-Matas,Mac e o seu Contratempo,2018,288,
,39,11,,Annie Ernaux,O Jovem,2022,56,
,40,12,,Annie Ernaux,O Acontecimento,2000,80,
,41,13,,Venedikt Erofeev,Moscow to the End of the Line,1970,169,
,42,14,,Victor Pelevin,The Helmet of Horror,2005,292,
,43,15,,Evelio Rosero,Señor que no Conoce la Luna,1992,112,
,44,16,,Sigismund Krzyzanowski,O Marcador de Página,1920~,160,
,,,,,,,,
,Maio,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,45,01,,Jon Fosse,Morning and Evening,2000,112,
,46,02,,Lídia Chukovskaia,Sofia Petrovna,1940,120,
,47,03,,Yann Andréa,M. D.,1983,108,
,48,04,,Ilya Ehrenburg,As Aventuras de Julio Jurenito,1921,196,
,49,05,,Katai Tayama,The Quilt,1907,208,
,,,,,,,,
,Junho,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,50,01,,César Aira,La Vida Nueva,2007,80,
,51,02,,Mario Levrero,La Ciudad,1970,192,
,52,03,,Marcelo Labes,Três Porcos,2020,192,
,53,04,,Mario Bellatin,La Jornada de la Mona y el Paciente,2006,56,
,54,05,,Richard Laymon,Endless Night,1993,471,
,55,06,,Mario Bellatin,Retrato de Mussolini Con Familia,2015,144,
,56,07,,Alberto Laiseca,Camilo Aldao [Hybris],2016,104,
,57,08,,Verônica Stigger,Os Anões,2010,60,
,58,09,,Mario Bellatin,El Gran Vidrio,2007,170,
,59,10,,César Aira,El Juego de los Mundos,2000,129,
,60,11,,Harry Mathews,My Life in CIA: A Chronicle of 1973,2005,209,
,61,12,,Serguei Dovlátov,O Ofício,1985,232,
,62,13,,Mario Bellatin,Cães Heróis,2003,128,
,63,14,,Mario Bellatin,Flores,2000,80,
,64,15,,César Aira,Como Me Reí,2005,128,
,65,16,,Sylvia Molloy,Varia Imaginación,2003,116,
,66,17,,Édouard Levé,Autoportrait,2005,117,
,67,18,,César Aira,Cumpleaños,2001,112,
,68,19,,Verônica Stigger,Gran Cabaret Demenzial,2007,128,
,69,20,,Verônica Stigger,O Trágico e Outras Comédias,2004,70,
,,,,,,,,
,Julho,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,70,01,,M. Ageyev,Novel with Cocaine,1934,177,
,71,02,,César Aira,O Congresso de Literatura,1997,168,
,72,03,,Amit Chaudhuri,Friend of my Youth,2017,173,
,73,04,,Mario Bellatin,Underwood Portátil Modelo 1915,2005,96,
,74,05,,César Aira,Artforum,2014,96,
,75,06,,Mario Bellatin,El Pasante de Notario Murasaki Shikibu,2010,70,
,76,07,,Mario Bellatin,Shiki Nagaoka: Una Nariz de Ficción,2001,96,
,77,08,,Héctor Libertella,El Árbol de Saussure,2000,104,
,78,09,,Héctor Libertella,Zettel,2009,76,
,79,10,,César Aira,Biografía,2014,96,
,80,11,,Lev Tolstói,A Morte de Ivan Ilitch,1886,96,
